text,covid_stats,vaccination,covid_politics,humour,lockdown,civic_views,life_during_pandemic,covid_waves_and_variants
"केही दिन यता वीर हस्पिटलमा कोरोना जॅाच गराउन आउनेको भिड बढेको छ । एक निजी ल्याब जहॅा १०० भन्दा बढि चेक हुन्छ पोजिटिभ आउनेको संख्या ३०% हाराहारी छ । सतर्क रहनुहोस् है । (कसैलाई तर्साउन खोजेको होईन, खाली सावधान गरेको हो)",1,0,0,0,0,1,0,0
भूटानले पठायो नेपालमा तीन लाख अष्ट्राजेनिकाको खोप - nepal japan,0,1,1,0,0,0,0,0
चीनका चार कम्पनीले कोभिड–१९ को खोप बिक्री गर्न पाए अनुमति,0,1,1,0,0,0,0,0
हिमालपारिको दुःखः ट्रयाक्टरमा खोप ढुवानी,0,1,0,0,0,0,1,0
"यो ट्वीट खोप लगाउनेहरुले आरटी,लगाउन तयार हुनेले लाईक र खोप बिरुद्ध हुनेले सस्क्राईभ गर्नु होला 😉",0,1,0,1,0,0,0,0
2 करोड 64 लाखलाई नि पुग्ने खोप ओली सरकारले ल्याइ सकेको छ सम्झौता गर्दा दाजु पनि सँगै हुनुहुन्थ्यो हगि,0,1,1,1,0,0,0,0
इलाममा भदौँ १० सम्म निशेधाज्ञा थप गरिएको छ यस अघि जस्तै इलामेली जनताले हेलचेकर्याई गर्दै लुखुरलुखुर कुदने हो भने यसको कुनै अर्थ छैन इलामबासी आँफै सचेत भएर १०/१५ दिनसम्म घरमा वसौँ यो कोरोनाको लहर ब्रेक भए पछि घुम्न निस्कौँला अहिले घरमै वसौँ ।,0,0,0,0,1,1,0,1
सबैलाई कोभिड खोप लगाइने,0,1,0,0,0,0,0,0
कोरोनाभाइरसको संक्रमण नियन्त्रणका लागि जारी निषेधाज्ञाका कारण बन्द रहेका लामो दूरीका गाडी दुई महीनापछि सञ्चालनमा आएका छन्।,0,0,0,0,1,0,1,0
"स्वास्थ्य तथा जनसङ्ख्या मन्त्रालयले अब कोभिड–१९ को सङ्क्रमितको उपचार सरकारी अस्पताल, स्वास्थ्य प्रतिष्ठान र मेडिकल कलेजमा मात्र गर्ने भएको छ।",0,0,1,0,0,0,1,0
कोरोना भाइरस सङ्क्रमणबाट ज्यान गुमाउनेको संख्या ४१ लाख ४३ हजार नाघ्यो,1,0,0,0,0,0,0,0
खोप आज को भोलि आउँदैन खोप खरिद गर्दा निश्चित प्रकिया पूरा गर्नु पर्छ हाम्रो देशको यो प्रकिया पूरा गर्न करिब ३ महिना लाग्छ खोइ कुरा बुझ्या। अन्ध भक्त हुनु भयन नी। गलत समाचार दिनु अपराध जस्तै हो ।,0,1,0,0,0,1,0,0
