text,covid_stats,vaccination,covid_politics,humour,lockdown,civic_views,life_during_pandemic,covid_waves_and_variants
"बजेट यथेष्ठ छ। कतिपय खर्च सोझै गर्न पाइन्छ, बिल बढाउन पाइन्छ। अझ महामारी थपिए झन् कतिपय कानून, नियम, विधि निलम्बन गरेर बजेट सञ्चालन गर्न पाइन्छ । अनि हुंदैन त हानथाप मन्त्रालय? चुनौति स्वीकार्न, केही गरेर देखाउन को मन्त्री बन्ला र यहाँ?",0,0,0,0,0,1,0,0
कोभिड-१९ antigen test kit तथा पि.सि.आर. बाट जाँच गरिएको अपडेट विवरण । मितिः २०७८/०३/१०,0,1,0,0,0,0,0,0
कोरोना भाइरस संक्रमणको तेस्रो लहर (फेज)विरुद्धको तयारीअन्तर्गत सरकारले बालबालिकाहरुका लागि भेन्टिलेटरसहितका आईसीयू बेड थेप्ने कार्य अगाडि बढाइएको जनाएको छ।,0,0,0,0,0,0,1,1
खोप प्रमाणीकरणमा सहज,0,1,1,0,0,0,0,0
"गाईजात्रा मज्जासँग मनाएको कारणले दशैं, तिहार चै लकडाउन रोक्ने भो कि क्या हो?",0,0,0,0,1,1,1,0
#मास्क इंडियाएक्सक ।,0,0,0,0,0,0,0,0
"जोरपाटी बेसिगाउँ ६ नं वडामा खोप लगार आयको ४,५ घण्टा फरकमा २ जना चैट ;(",0,1,0,0,0,0,0,0
ढुवानी व्यवसायी र मजदुरलाई तत्काल खोप उपलब्ध गराउन मेची ट्रान्सपोर्ट एसोसिएसनको आग्रह -,0,1,0,0,0,0,1,0
नेपालमा रात्रिकालिन कोरोना सकृय भएकोले राती आठ बजे पछि घरबाहिर ननिस्किन ठुला बिज्ञको सुझाव भनेको नमाने ज्यान जोखिममा #शुभदिनको_कामना 🌷🌷🙏🙏🌷🌷,0,0,0,1,0,0,1,0
बंगलादेशद्धारा कोरोना संक्रमणको रोकथामका लागि १४ दिन लकडाउन घोषणा #lockdowninbangaladesh #latestnews #newsnepal #24hrnews,0,0,0,0,1,0,0,0
'डेल्टा भेरिएन्ट' को संक्रमण दर उच्च र घातक हुन सक्ने जनस्वास्थ्य विज्ञहरुको राय आईरहेको सन्दर्भमा भौतिक उपस्थितीको tu को परीक्षा स्थगित गरियोस ! मानसिक तनावका बिच परीक्षा लिनु मानविय हिसाबले पनि जायज होईन ! #canceltuexams,0,0,0,0,0,1,1,1
सामान्य अवस्थामा फर्कने हतार गर्दा मानिसहरू स्वस्थ अवस्थामा नपुग्न सक्छन्। सामान्य स्थितिमा फर्काउने भन्दै एक हुल अभिनेताले (स्मार्ट लकडाउन अथवा लूज डाउन इत्यादि थोते बोलेर) समाजलाई सङ्कटग्रस्त बनाइसके।,0,0,0,0,1,1,1,0
"# , नेपालिलाई रिनको भारी बोकायेर मर्न लागेका नेतालाई २ करोड उपचार खर्च सहयोग गर्ने सरकार, भुटानसङ्ग ३ लाख डोज भ्याक्सिन अनुदान सहयोग लिने मेरो सरकार। प्रजातन्त्र र गणतन्त्रका दलालहरुले कहाँ पुर्याये मेरो देशलाई।",0,1,1,0,0,1,0,0
