text,covid_stats,vaccination,covid_politics,humour,lockdown,civic_views,life_during_pandemic,covid_waves_and_variants
सन् २०२० देखि कोरोनाभाइरसका कारण लागु गरिएको पटकपटकको लकडाउन पछि समस्यामा परेका ८०० भन्दा बढी नेपाली विद्यार्थीहरुलाई अहिलेसम्म खाद्य सहयोग प्रदान गरिसकेको मेलबर्न स्थित येती फुटबल क्लबका अध्यक्ष राज शर्मा बताउछन्।,0,0,0,0,1,0,1,0
कोभिड महामारी सकियो जस्तो छ ? नेपाली लाई खोप चाइदैन क्या हो ? सबै कानमा तेल हालेर सुते जस्तो छ ? 🤔🤔,0,1,0,1,0,0,0,0
कोरोना उपचारमा लापरबाही भएको भन्दै झडप,0,0,0,0,0,0,0,0
खोप केन्द्र बिस्तार गर्न मुख्य सचिव र स्वास्थ्य सचिवलाई प्रधानमन्त्रीको निर्देशन,0,1,0,0,0,0,0,0
"धनी देशहरु आत्मकेन्द्रित नभए मात्रै विश्व अर्थतन्त्र सुधार, के खोप उपलब्ध गराउन तयार छन्? #bizmandu",0,1,1,0,0,0,0,0
कास्कीका ३०४ सहित गण्डकीमा थप ७१० मा संक्रमण -,1,0,0,0,0,0,0,0
अपांगता भएका कोभिड–१९ संक्रमित व्यक्तिको यसरी ख्याल राख्नूहोस्,0,0,0,0,0,1,0,0
बेलायतमा कोरोना सङ्क्रमणको दर अझ बढ्नसक्ने - nepal japan,0,0,0,0,0,0,0,1
"लकडाउन काे माैका छाेपि कर्णालि तिर मन्त्रि ले फिल्म रिलिज गरे भन्ने हल्ला छ,याे कुरा सत्य नहाेस भनि भगवान सङ्ग प्रार्थना बाहेक केहि गर्ने सकिएन भनेर बुझ्नुस।",0,0,1,0,1,0,0,0
२ बर्ष सम्म रातदिन कोरोन कोरोना भनेर खोक्ने तर्साउने डरको खेती गर्ने बर्षौ बन्दका नाममा नेपालीलाई थुन्ने पत्रकार “मिडिया फ्लु ” भनेर पनि लेखौ एकबारको जुनिमा हुरहुर ।,0,0,0,0,0,1,0,0
निषेधाज्ञाको मोडालिटी परिर्वतन भएसँगै प्रदेश १ मा फेरि बढ्न थाले संक्रमित,0,0,0,0,1,0,0,0
"बढ्यो कोरोना संक्रमण दर, तेस्रो लहर आउनसक्ने स्वास्थ्य मन्त्रालयको चेतावनी",1,0,0,0,0,1,0,1
लकडाउन सकिय देखि जाड खान बन्द गरेको अहिले ट्वीट नै फुर्दैन ! मलाई तनाब भो 😂😂😂,0,0,0,1,1,0,0,0
नेपालमा बढे संक्रमित :उपत्यकामा थप ९ सय ९९ #hamrakura,1,0,0,0,0,0,0,0
एकातर्फ कोभिड–१९ को उच्च जोखिमको त्रास छ भने अर्को तर्फ खोप नपाउने चिन्ता सर्वसाधारणमा छ। थप जानकारीका लागि येश लिङ्कमा: #covid19 #nepal,0,1,0,0,0,0,1,0
खोप प्रमाणपत्र अबदेखि जिल्ला अस्पतालबाट पाइने,0,1,1,0,0,0,0,0
जाउ जाउ बाटोमा जाउ उफ्र भिड लगाऊ कसैले राजा माग गर कसैले एम सिसि चाहिन्न भन खारेज गर कसैले माकुनेलाई सराप देउ काङ्ग्रेसमा पठाउ कसैले परमादेश ल्याउने न्यायाधीश खारेज गर तर सेनिटाइज र मास्क चाहिँ अनिवार्य लगाउ है फेॠ भगुवानकहाँ पहिल्यै तिम्रोलागि ठाउँ नबन्ला भन्न सकिन्न....✍️,0,0,1,0,0,1,1,0
"प्रधानमन्त्री देउवा र अमेरिकी विदेशमन्त्रीबीच टेलिफोन वार्ता , थप खोप सहयोग गर्न आग्रह",0,1,1,0,0,0,0,0
कर्णाली प्रदेशमा ९१ प्रतिशत कोरोना सङ्क्रमित निको,1,0,0,0,0,0,0,0
"आज यति उति हिजोसम्म यति,कोरोना माहामारी संक्रमण पहिलो दोस्रोअब तेस्रो भेरियन्ट डेल्टा डेल्टा प्लस के के हो के के हाम्रो दैनिकी सुनाई भोगाइ।कहिले सम्म हो यो लहर रूप परिबर्तन को कहर ! जाड़ो गर्मी हिउँद बर्षा ऋतु परिवर्तन जेभयपनि निरन्तर एकनास तबरले बिश्वभरि भयावह खवर।शुभ प्रभात: !",0,0,0,0,0,1,1,1
अझै लकडाउन छ भन्न मिल्छ र!,0,0,0,0,1,1,0,0
यो कोरोना कालमा भुराभुरीको अनलाइन क्लासमा संगै छेउमा बस्दा भुराभुरीले नटेरेर कति जना बाउ आमाको रक्तचाप बढेर औषधि खान पर्यो भनेर कुनै अध्यन भएको छ कि छैन होला?,0,0,0,0,0,0,1,0
डेल्टा भेरियन्टलाई सामान्य मान्न सकिन्छ बरु प्रचण्ड भेरियन्ट तेति जहरिलो भयो!,0,0,1,1,0,1,0,1
कोरोना को खोप मा भस्टचार राजनीति कारण गरदै काङ्ग्रेस देउवा,0,1,1,0,0,0,0,0
कोभिड covid-19 को उपचारको क्रममा नेपाली कांग्रेस सुर्खेतका पूर्व सभापति तथा नेपाल सरकारका पूर्व सुचना तथा सञ्चार राज्यमन्त्री आदरणीय दाइ तप्तबहादुर बिष्टको दु:खद निधन भएको छ । उहाँको आत्माको बैकुण्ठबासको कामना ।,0,0,1,0,0,0,0,0
शहरभन्दा गाउँमा कोभिड-१९ संक्रमित बढ्दै,1,0,0,0,0,0,0,0
"एउटा नालायक सरकारले बर्षौ लकडाउन गर्‍यो,गरिब जनतालाई भोकै मार्‍यो आफ्नो भुँडी भर्‍यो र गयो,फेरि अर्को नालायक सरकार आयो र त्यही बाटो रोज्न खोज्दैछ, खुलमखुल्ला प्रतिबाद गरिन्छ,गए यो एक ज्यान जाला !",0,0,0,0,1,1,0,0
